INFO:root:Number of parameters: 369498
INFO:root:242: Acc-tr: 100.00, Acc-val:   9.96, L-tr: 0.0008, L-val: 7.8734
INFO:root:243: Acc-tr: 100.00, Acc-val:   9.93, L-tr: 0.0008, L-val: 7.8631
INFO:root:244: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0008, L-val: 7.8592
INFO:root:245: Acc-tr: 100.00, Acc-val:   9.90, L-tr: 0.0009, L-val: 7.8614
INFO:root:246: Acc-tr: 100.00, Acc-val:   9.88, L-tr: 0.0008, L-val: 7.8782
INFO:root:247: Acc-tr: 100.00, Acc-val:   9.90, L-tr: 0.0008, L-val: 7.8884
INFO:root:248: Acc-tr: 100.00, Acc-val:  10.04, L-tr: 0.0008, L-val: 7.8354
INFO:root:249: Acc-tr: 100.00, Acc-val:   9.93, L-tr: 0.0008, L-val: 7.8829
INFO:root:250: Acc-tr: 100.00, Acc-val:   9.71, L-tr: 0.0008, L-val: 7.8656
INFO:root:251: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0008, L-val: 7.8613
INFO:root:252: Acc-tr: 100.00, Acc-val:   9.84, L-tr: 0.0008, L-val: 7.9078
INFO:root:253: Acc-tr: 100.00, Acc-val:  10.07, L-tr: 0.0008, L-val: 7.9130
INFO:root:254: Acc-tr: 100.00, Acc-val:   9.95, L-tr: 0.0008, L-val: 7.8899
INFO:root:255: Acc-tr: 100.00, Acc-val:  10.03, L-tr: 0.0008, L-val: 7.8890
INFO:root:256: Acc-tr: 100.00, Acc-val:   9.92, L-tr: 0.0008, L-val: 7.8661
INFO:root:257: Acc-tr: 100.00, Acc-val:   9.80, L-tr: 0.0008, L-val: 7.8654
INFO:root:258: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0008, L-val: 7.8375
INFO:root:259: Acc-tr: 100.00, Acc-val:   9.80, L-tr: 0.0008, L-val: 7.8587
INFO:root:260: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0008, L-val: 7.8350
INFO:root:261: Acc-tr: 100.00, Acc-val:   9.84, L-tr: 0.0008, L-val: 7.8817
INFO:root:262: Acc-tr: 100.00, Acc-val:  10.10, L-tr: 0.0008, L-val: 7.9230
INFO:root:263: Acc-tr: 100.00, Acc-val:   9.78, L-tr: 0.0008, L-val: 7.8647
INFO:root:264: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0008, L-val: 7.8637
INFO:root:265: Acc-tr: 100.00, Acc-val:   9.84, L-tr: 0.0008, L-val: 7.8602
INFO:root:266: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0008, L-val: 7.8563
